,Accuracy,AUC,F1 Measure,Mean CV on Train
alcoholic_12_ada_sig1,0.6125,0.67,0.6309523809523809,0.4606349206349207
alcoholic_12_ada_sig1_standard_scale,0.59375,0.6268750000000001,0.5806451612903225,0.4606349206349207
alcoholic_12_ada_sig1_standard_scale_time_aug,0.59375,0.6268750000000001,0.5806451612903225,0.4730793650793651
alcoholic_12_ada_sig1_time_aug,0.6125,0.67,0.6309523809523809,0.4730793650793651
alcoholic_12_ada_sig1_ts_scale,0.55,0.5901562499999999,0.5764705882352941,0.5717460317460318
alcoholic_12_ada_sig1_ts_scale_standard_scale,0.55,0.563515625,0.5609756097560975,0.5717460317460318
alcoholic_12_ada_sig1_ts_scale_standard_scale_time_aug,0.55,0.563515625,0.5609756097560975,0.5655238095238095
alcoholic_12_ada_sig1_ts_scale_time_aug,0.55,0.5901562499999999,0.5764705882352941,0.545968253968254
alcoholic_12_ada_sig2,0.84375,0.94875,0.8427672955974843,0.7575238095238095
alcoholic_12_ada_sig2_standard_scale,0.85,0.943125,0.8571428571428572,0.7575238095238095
alcoholic_12_ada_sig2_standard_scale_time_aug,0.83125,0.93328125,0.8343558282208589,0.7446984126984126
alcoholic_12_ada_sig2_time_aug,0.80625,0.9175,0.7973856209150326,0.7446984126984126
alcoholic_12_ada_sig2_ts_scale,0.88125,0.9509375,0.8805031446540881,0.6732698412698412
alcoholic_12_ada_sig2_ts_scale_standard_scale,0.875,0.955625,0.8809523809523809,0.752952380952381
alcoholic_12_ada_sig2_ts_scale_standard_scale_time_aug,0.90625,0.9659375,0.9079754601226994,0.7359365079365079
alcoholic_12_ada_sig2_ts_scale_time_aug,0.88125,0.97140625,0.8789808917197451,0.7359365079365079
alcoholic_12_knn_sig1,0.54375,0.594375,0.6217616580310882,0.4624444444444444
alcoholic_12_knn_sig1_standard_scale,0.56875,0.61828125,0.6532663316582915,0.5563174603174603
alcoholic_12_knn_sig1_standard_scale_time_aug,0.56875,0.61828125,0.6532663316582915,0.5563174603174603
alcoholic_12_knn_sig1_time_aug,0.54375,0.594375,0.6217616580310882,0.4624444444444444
alcoholic_12_knn_sig1_ts_scale,0.55625,0.59125,0.5644171779141104,0.5183492063492064
alcoholic_12_knn_sig1_ts_scale_standard_scale,0.55625,0.5715625,0.5644171779141104,0.4958095238095238
alcoholic_12_knn_sig1_ts_scale_standard_scale_time_aug,0.55625,0.5715625,0.5644171779141104,0.4958095238095238
alcoholic_12_knn_sig1_ts_scale_time_aug,0.55625,0.59125,0.5644171779141104,0.5183492063492064
alcoholic_12_knn_sig2,0.7625,0.85375,0.7397260273972603,0.6693333333333334
alcoholic_12_knn_sig2_standard_scale,0.75,0.8336718750000001,0.7674418604651162,0.654952380952381
alcoholic_12_knn_sig2_standard_scale_time_aug,0.7625,0.839140625,0.7790697674418605,0.6340634920634922
alcoholic_12_knn_sig2_time_aug,0.7625,0.85375,0.7397260273972603,0.6693333333333334
alcoholic_12_knn_sig2_ts_scale,0.725,0.837578125,0.6615384615384615,0.666984126984127
alcoholic_12_knn_sig2_ts_scale_standard_scale,0.70625,0.817578125,0.6356589147286822,0.6564444444444445
alcoholic_12_knn_sig2_ts_scale_standard_scale_time_aug,0.7375,0.8421874999999999,0.661290322580645,0.6524761904761904
alcoholic_12_knn_sig2_ts_scale_time_aug,0.725,0.842578125,0.6615384615384615,0.6607936507936507
alcoholic_12_lr_sig1,0.51875,0.5298437500000001,0.5032258064516129,0.4322539682539682
alcoholic_12_lr_sig1_standard_scale,0.5375,0.54546875,0.5487804878048781,0.4417777777777778
alcoholic_12_lr_sig1_standard_scale_time_aug,0.5375,0.54546875,0.5487804878048781,0.4417777777777778
alcoholic_12_lr_sig1_time_aug,0.5375,0.5395312499999999,0.5256410256410255,0.4367619047619048
alcoholic_12_lr_sig1_ts_scale,0.5625,0.63046875,0.4927536231884058,0.4551111111111111
alcoholic_12_lr_sig1_ts_scale_standard_scale,0.4875,0.5353125,0.4938271604938271,0.4506666666666666
alcoholic_12_lr_sig1_ts_scale_standard_scale_time_aug,0.4875,0.5353125,0.4938271604938271,0.4506666666666666
alcoholic_12_lr_sig1_ts_scale_time_aug,0.56875,0.6315624999999999,0.5035971223021583,0.4559999999999999
alcoholic_12_lr_sig2,0.86875,0.91578125,0.8627450980392157,0.641015873015873
alcoholic_12_lr_sig2_standard_scale,0.8625,0.94375,0.8705882352941177,0.6915555555555557
alcoholic_12_lr_sig2_standard_scale_time_aug,0.86875,0.94,0.8757396449704142,0.7083809523809524
alcoholic_12_lr_sig2_time_aug,0.86875,0.91578125,0.8627450980392157,0.6507936507936508
alcoholic_12_lr_sig2_ts_scale,0.81875,0.90703125,0.8053691275167786,0.7294603174603175
alcoholic_12_lr_sig2_ts_scale_standard_scale,0.825,0.9096875,0.8205128205128205,0.7048888888888889
alcoholic_12_lr_sig2_ts_scale_standard_scale_time_aug,0.825,0.900625,0.818181818181818,0.7023492063492063
alcoholic_12_lr_sig2_ts_scale_time_aug,0.825,0.901875,0.8108108108108107,0.7234285714285714
alcoholic_12_rf_sig1,0.64375,0.7262500000000001,0.6122448979591838,0.5647619047619047
